ID_TICKETS,CPR_DOCUMENTNO,CPR_DOCUMENTTYPE,CPR_STATUS,CPR_ITEMNO,CPR_CPNNO,CPR_SUBQUALIFIER,CPR_LANGUAGE,CPR_SOURCE,CPR_ENCODING,CPR_FREETEXT,CPR_MARKETINGCOMP,ID_PRODUCTLEVEL,CPR_DOCUMENTNO1,CPR_DOCUMENTTYPE1,CPR_STATUS1,DWH_SNAPSHOTTIMESTAMP
61351524,2.32952E+12,E,ASS,,1,,,,,,,155686752,2.32952E+12,E,ASS,29MAY2022:08:21:51.120
61351525,2.32246E+12,E,ASS,,1,,,,,,,155686753,2.32246E+12,E,ASS,29MAY2022:08:21:51.150
61351526,2.32337E+12,E,ASS,,2,,,,,,,155686755,2.32337E+12,E,ASS,29MAY2022:08:21:51.200
61351527,2.32588E+12,E,ASS,,1,,,,,,,155686757,2.32588E+12,E,ASS,29MAY2022:08:21:51.233
61351528,2.32588E+12,E,ASS,,1,,,,,,,155686758,2.32588E+12,E,ASS,29MAY2022:08:21:51.263
61351529,2.32588E+12,E,ASS,,1,,,,,,,155686759,2.32588E+12,E,ASS,29MAY2022:08:21:51.280
61351530,2.32588E+12,E,ASS,,2,,,,,,,155686761,2.32588E+12,E,ASS,29MAY2022:08:21:51.327
61351531,2.32588E+12,E,ASS,,2,,,,,,,155686763,2.32588E+12,E,ASS,29MAY2022:08:21:51.373
61351532,2.32588E+12,E,ASS,,1,,,,,,,155686764,2.32588E+12,E,ASS,29MAY2022:08:21:51.403
61351533,2.32246E+12,E,ASS,,1,,,,,,,155686766,2.32246E+12,E,ASS,29MAY2022:08:21:51.450
61351534,1.25952E+12,E,ASS,,3,,,,,,,155686779,1.25952E+12,E,ASS,29MAY2022:08:21:51.747
61351535,2.32671E+12,E,ASS,,1,,,,,,,155686787,2.32671E+12,E,ASS,29MAY2022:08:21:51.890
61351536,2.32671E+12,E,ASS,,2,,,,,,,155686788,2.32671E+12,E,ASS,29MAY2022:08:21:51.903
61351537,2.32246E+12,E,ASS,,1,,,,,,,155686789,2.32246E+12,E,ASS,29MAY2022:08:21:51.920
61351538,2.32246E+12,E,ASS,,1,,,,,,,155686794,2.32246E+12,E,ASS,29MAY2022:08:21:52.077
61351539,2.32246E+12,E,ASS,,1,4,EN,M,1,SEAT FEE,,155686795,2.32246E+12,E,ASS,29MAY2022:08:21:52.107
