CPR_CARRIERID,CPR_NUMBER,CPR_STATUS,CPR_TIERLEVEL,CPR_PRIORITYCODE,ID_CUSTFQTVINFO,ID_CUSTOMERLEVEL,CCP_SSRCODE,CPR_REFQUALIFIER,CPR_PRIMEID,CPR_COMPANYID,DWH_SNAPSHOTTIMESTAMP
MH,313410705,OK,BLUE,,8263483,54142179,FQTV,,,MH,29MAY2022:07:14:15.417
MH,13740156,OK,SLVR,RUBY,8263484,54142182,FQTV,,,MH,29MAY2022:07:14:15.820
MH,305622925,OK,BLUE,,8263485,54142192,FQTV,,,MH,29MAY2022:07:14:16.897
MH,305636284,OK,BLUE,,8263486,54142193,FQTV,,,MH,29MAY2022:07:14:17.113
MH,16681895,OK,BLUE,,8263487,54142207,FQTV,,,MH,29MAY2022:07:14:20.020
MH,334755083,OK,BLUE,,8263488,54142209,FQTV,,,MH,29MAY2022:07:21:46.600
MH,61438882,OK,BLUE,,8263489,54142211,FQTV,,,MH,29MAY2022:07:21:46.757
MH,11632810,OK,BLUE,,8263490,54142212,FQTV,,,MH,29MAY2022:07:21:46.833
MH,305888424,OK,SLVR,RUBY,8263491,54142214,FQTV,,,MH,29MAY2022:07:21:47.143
MH,334754766,OK,BLUE,,8263492,54142217,FQTV,,,MH,29MAY2022:07:21:47.627
MH,334755352,OK,BLUE,,8263493,54142218,FQTV,,,MH,29MAY2022:07:21:47.707
MH,334755245,OK,BLUE,,8263494,54142219,FQTV,,,MH,29MAY2022:07:21:47.800
MH,23503896,OK,BLUE,,8263495,54142221,FQTV,,,MH,29MAY2022:07:21:48.143
MH,15008593,OK,GOLD,SAPH,8263496,54142227,FQTV,,,MH,29MAY2022:07:21:48.657
MH,68957184,OK,BLUE,,8263497,54142229,FQTV,,,MH,29MAY2022:07:21:48.863
MH,334119100,OK,BLUE,,8263498,54142237,FQTV,,,MH,29MAY2022:07:21:49.550
MH,334457981,OK,BLUE,,8263499,54142246,FQTV,,,MH,29MAY2022:07:21:50.393
MH,313319672,OK,BLUE,,8263500,54142248,FQTV,,,MH,29MAY2022:07:21:50.550
MH,316090364,OK,BLUE,,8263501,54142249,FQTV,,,MH,29MAY2022:07:21:50.627
MH,334755525,OK,BLUE,,8263502,54142250,FQTV,,,MH,29MAY2022:07:21:50.703
MH,66368890,OK,SLVR,RUBY,8263503,54142251,FQTV,,,MH,29MAY2022:07:21:50.780
MH,328476772,OK,GOLD,SAPH,8263504,54142257,FQTV,,,MH,29MAY2022:07:21:51.327
MH,334754280,OK,BLUE,,8263505,54142261,FQTV,,,MH,29MAY2022:07:21:51.640
MH,333312453,OK,BLUE,,8263506,54142272,FQTV,,,MH,29MAY2022:07:21:52.813
MH,300628845,OK,PLAT,EMER,8263507,54142283,FQTV,,,MH,29MAY2022:07:21:55.257
MH,333401412,OK,BLUE,,8263508,54142285,FQTV,,,MH,29MAY2022:07:21:55.477
MH,315810224,OK,BLUE,,8263509,54142286,FQTV,,,MH,29MAY2022:07:21:55.553
MH,306200893,OK,PLAT,EMER,8263510,54142293,FQTV,,,MH,29MAY2022:07:21:56.287
MH,310287983,OK,SLVR,RUBY,8263511,54142299,FQTV,,,MH,29MAY2022:07:21:56.757
MH,68444891,OK,GOLD,SAPH,8263512,54142306,FQTV,,,MH,29MAY2022:07:21:57.443
MH,12928425,OK,BLUE,,8263513,54142307,FQTV,,,MH,29MAY2022:07:21:57.490
MH,308705946,OK,SLVR,RUBY,8263514,54142316,FQTV,,,MH,29MAY2022:07:21:59.173
MH,309140952,OK,SLVR,RUBY,8263515,54142317,FQTV,,,MH,29MAY2022:07:21:59.317
MH,330589280,OK,BLUE,,8263516,54142323,FQTV,,,MH,29MAY2022:07:21:59.783
MH,272261441,OK,BLUE,,8263517,54142326,FQTV,,,MH,29MAY2022:07:22:00.033
MH,334905266,OK,BLUE,,8263518,54142327,FQTV,,,MH,29MAY2022:07:22:00.130
MH,302560495,OK,GOLD,SAPH,8263519,54142334,FQTV,,,MH,29MAY2022:07:22:00.690
MH,304662890,OK,SLVR,RUBY,8263520,54142357,FQTV,,,MH,29MAY2022:07:22:04.893
MH,308903615,OK,BLUE,,8263521,54142360,FQTV,,,MH,29MAY2022:07:22:05.127
MH,326376094,OK,BLUE,,8263522,54142385,FQTV,,,MH,29MAY2022:07:34:12.287
MH,251062276,OK,SLVR,RUBY,8263523,54142386,FQTV,,,MH,29MAY2022:07:34:12.320
MH,200660261,OK,BLUE,,8263524,54142394,FQTV,,,MH,29MAY2022:07:34:13.173
MH,334901346,OK,BLUE,,8263525,54142395,FQTV,,,MH,29MAY2022:07:34:13.317
MH,14650705,OK,SLVR,RUBY,8263526,54142402,FQTV,,,MH,29MAY2022:07:34:14.067
MH,MH067923450,,,,8263527,54142421,FQTV,,,MH,29MAY2022:07:34:14.910
MH,80371443,OK,GOLD,SAPH,8263528,54142432,FQTV,,,MH,29MAY2022:07:34:15.600
MH,13951954,OK,SLVR,RUBY,8263529,54142434,FQTV,,,MH,29MAY2022:07:34:15.680
MH,200228906,OK,BLUE,,8263530,54142435,FQTV,,,MH,29MAY2022:07:34:15.757
MH,14844690,OK,BLUE,,8263531,54142436,FQTV,,,MH,29MAY2022:07:34:15.820
QR,575887396,OK,BURG,,8263532,54142439,FQTV,,,MH,29MAY2022:07:34:16.130
MH,302867585,OK,PLAT,EMER,8263533,54142441,FQTV,,,MH,29MAY2022:07:34:16.430
MH,300628845,OK,PLAT,EMER,8263534,54142442,FQTV,,,MH,29MAY2022:07:34:16.477
MH,332816680,OK,BLUE,,8263535,54142455,FQTV,,,MH,29MAY2022:07:34:17.227
MH,15134862,OK,BLUE,,8263536,54142466,FQTV,,,MH,29MAY2022:07:34:18.700
MH,60796385,OK,BLUE,,8263537,54142471,FQTV,,,MH,29MAY2022:07:34:19.243
